ID	Sport	Player First Name	Player Last Name	Brand	Collection	Card Number	Year	Variant	Serial Number	Condition	Estimated Value	Rookie Card	Autographed	Numbered	Notes	Front Image URL	Back Image URL	Last Updated
31	Baseball	Royce	Lewis	Topps	Stars of MLB	SMLB-69	2024			PSA 8	$1.99	No	No	No		/uploads/1745792025505_Lewis_front.jpg	/uploads/1745792025510_Lewis_back.jpg	2025-04-27T22:13:45.812Z
32	Baseball	Adley	Rutschman	Topps	Stars of MLB	SMLB-66	2024			PSA 8	$1.00	No	No	No		/uploads/1745796442080_Rutschman_front.jpg	/uploads/1745796442086_Rutschman_back.jpg	2025-04-27T23:27:22.836Z
33	Baseball	Alex	Bregman	Topps	Stars of MLB	SMLB-59	2024			PSA 8	$0.99	No	No	No		/uploads/1745796845930_Bregman_front.jpg	/uploads/1745796845936_Bregman_back.jpg	2025-04-27T23:34:06.469Z
34	Baseball	Sonny	Gray	Topps	Stars of MLB	SMLB-58	2024			PSA 8	$0.99	No	No	No		/uploads/1745797140216_Gray_front.jpg	/uploads/1745797140221_Gray_back.jpg	2025-04-27T23:39:00.545Z
35	Baseball	Sal	Frelick	Topps	Stars of MLB	SMLB-56	2024			PSA 8	$0.99	Yes	No	No		/uploads/1745841448384_Frelick_front.jpg	/uploads/1745841448392_Frelick_back.jpg	2025-04-28T11:57:29.260Z
36	Baseball	Shohei	Ohtani	Topps	Stars of MLB	SMLB-55	2024			PSA 8	$2.15	No	No	No		/uploads/1745841615200_Ohtani_front.jpg	/uploads/1745841615206_Ohtani_back.jpg	2025-04-28T12:00:15.791Z
37	Baseball	Masyn	Winn	Topps	Stars of MLB	SMLB-54	2024			PSA 8	$1.19	Yes	No	No		/uploads/1745866266968_Winn_front.jpg	/uploads/1745866266992_Winn_back.jpg	2025-04-28T18:51:07.796Z
38	Baseball	Jose	Ramirez	Topps	Stars of MLB	SMLB-51	2024			PSA 8	$1.50	No	No	No		/uploads/1745866766706_Ramirez_front.jpg	/uploads/1745866766728_Ramirez_back.jpg	2025-04-28T18:59:27.468Z
39	Baseball	Carlos	Correa	Topps	Stars of MLB	SMLB-49	2024			PSA 8	$1.49	No	No	No		/uploads/1745867110234_Correa_front.jpg	/uploads/1745867110248_Correa_back.jpg	2025-04-28T19:05:10.984Z
40	Baseball	Ceddanne	Rafaela	Topps	Stars of MLB	SMLB-48	2024			PSA 8	$1.59	Yes	No	No		/uploads/1745867368006_Rafaela_front.jpg	/uploads/1745867368012_Rafaela_back.jpg	2025-04-28T19:09:28.903Z
41	Baseball	Nolan	Arenado	Topps	Stars of MLB	SMLB-45	2024			PSA 8	$1.00	No	No	No		/uploads/1745868308634_Arenado_front.jpg	/uploads/1745868308654_Arenado_back.jpg	2025-04-28T19:25:09.405Z
43	Baseball	Nolan	Arenado	Topps	Stars of MLB	SMLB-45	2024			PSA 8	$1.00	No	No	No		/uploads/1745868675251_Arenado_front.jpg	/uploads/1745868675272_Arenado_back.jpg	2025-04-28T19:31:16.029Z
44	Baseball	Manny	Machado	Topps	Stars of MLB	SMLB-44	2024			PSA 8	$1.25	No	No	No		/uploads/1745869132483_Machado_front.jpg	/uploads/1745869132489_Machado_back.jpg	2025-04-28T19:38:53.496Z
45	Baseball	Francisco	Lindor	Topps	Stars of MLB	SMLB-42	2024			PSA 8	$1.50	No	No	No		/uploads/1745871754339_Lindor_front.jpg	/uploads/1745871754347_Lindor_back.jpg	2025-04-28T20:22:35.174Z
